refeitorio,data,refeicao,preparacao,cardapio,aparencia,textura,sabor,odor,global,nota,sheet_origem,ru,mes
Benfica,2026-03-05,Almoço,PB,Peixe ao M. de Peixada,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,B,2026-03
Benfica,2026-03-05,Almoço,VEG,Estrogonofe de Grão de Bico,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,B,2026-03
Pici 2,2026-03-05,Almoço,PV,Isca de Carne ao Molho Escuro,3.0,3.0,4.0,4.0,4.0,6.8,Av. Sensorial,P2,2026-03
Pici 2,2026-03-05,Almoço,PB,Peixe ao M. de Peixada,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,P2,2026-03
Pici 2,2026-03-05,Almoço,VEG,Estrogonofe de Grão de Bico,3.0,4.0,4.0,4.0,4.0,7.4,Av. Sensorial,P2,2026-03
Pici 1,2026-03-05,Almoço,PV,Isca de Carne ao Molho Escuro,4.0,3.0,4.0,4.0,4.0,7.4,Av. Sensorial,P1,2026-03
Pici 1,2026-03-05,Almoço,PB,Peixe ao M. de Peixada,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,P1,2026-03
Pici 1,2026-03-05,Almoço,VEG,Estrogonofe de Grão de Bico,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,P1,2026-03
Pici 2,2026-03-05,Almoço,PB,Peixe ao M. de Peixada,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,P2,2026-03
Pici 2,2026-03-05,Almoço,VEG,Estrogonofe de Grão de Bico,3.0,3.0,3.0,4.0,3.0,6.2,Av. Sensorial,P2,2026-03
Porangabussu,2026-03-05,Almoço,PV,Isca de Carne ao Molho Escuro,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,PO,2026-03
Porangabussu,2026-03-05,Almoço,PB,Peixe ao M. de Peixada,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,PO,2026-03
Porangabussu,2026-03-05,Almoço,VEG,Estrogonofe de Grão de Bico,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,PO,2026-03
Porangabussu,2026-03-05,Almoço,PV,Isca de Carne ao Molho Escuro,3.0,3.0,4.0,4.0,4.0,6.8,Av. Sensorial,PO,2026-03
Porangabussu,2026-03-05,Almoço,PB,Peixe ao M. de Peixada,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,PO,2026-03
Porangabussu,2026-03-05,Almoço,VEG,Estrogonofe de Grão de Bico,3.0,3.0,3.0,4.0,3.0,6.2,Av. Sensorial,PO,2026-03
Pici 1,2026-03-05,Jantar,PV,Cubo suíno acebolado,4.0,3.0,4.0,4.0,4.0,7.4,Av. Sensorial,P1,2026-03
Pici 1,2026-03-05,Jantar,PB,Estrogonofe de Frango,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,P1,2026-03
Pici 1,2026-03-05,Jantar,VEG,Assado de Lentilha,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,P1,2026-03
Benfica,2026-03-05,Almoço,PV,Isca de Carne ao Molho Escuro,3.0,3.0,4.0,4.0,4.0,6.8,Av. Sensorial,B,2026-03
